item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
82060L,ORG Maple Pecan 11OZ Bag/Box of 24 - GA,WeighRight,1533,,245.2,,,93.2,,99.9,129.5
10026,ORG Orange Peel 8 Oz Bag,AMS,1497,,80.4,41.7,20.4,,,,26.6
31005L,ORG GF Instant Dandelion Latte 224g Bag,AMS,1487,64.6,,65.4,,,,,65.1
40110,ORG French Roast 10 Count Tea Bag - G,Maisa 2+3,1472,,,99.6,,75.7,,86.1,87.9
40001,Herbal Tea Sampler Box - 6 Count Case,Assembly,1466,,29.2,12.5,25.9,,28.0,,20.1
45001,Mushroom Adaptogen TB Sampler Box - 6 Count Case - G,Assembly,1454,13.2,,15.9,59.0,11.0,28.3,,15.3
53310,Dandelion Mocha Mint 30g Trial Size Packet - A,WeighRight,1440,,,,138.0,,,,138.0
42061,ORG Maple Pecan 25CT Tea Bag - GA,Maisa 1,1422,75.9,104.3,,,,,,84.9
45020F,Chaga Ashwagandha Dual Language 10 cnt TB,Maisa 2+3,1407,,109.5,137.6,,,60.8,,106.6
80060,ORG Hazelnut 11OZ Bag/6 Count Case - GA,WeighRight,1380,,98.7,101.4,92.8,,,100.9,97.9
TGB601,ORG Dark Chocolate Tea Bag Goody Bag,Assembly,1375,,,11.5,12.5,29.5,,34.5,22.2
30010L,ORG Instant Hazelnut 100g Bag - G,AMS,1344,91.3,,,76.0,,,,83.7
42041,Snickerdoodle 25CT Tea Bag - GA,Maisa 1,1335,,84.4,,116.3,,,,99.4
30004,Instant Barley - 6 Oz Bag - G,AMS,1334,,50.6,,48.3,,46.8,,48.8
80116A,French Roast 500g APG Bag - G,WeighRight,1320,168.5,183.1,,,,,,175.7
40116,French Roast Tagless Tea Bag - 50 Ct - G,AMS,1313,125.4,,,,,79.6,,105.5
TGB337,ORG Blueberry Vanilla Tea Bag Goody Bag,Assembly,1300,,15.5,,,15.0,7.9,,13.1
53080,Dandelion Mocha 30g Trial Size Packet - A,WeighRight,1291,,,,142.1,,,,142.1
85050L,ORG Turkey Tail Astragalus 10 Oz Bag/Box of 24 - G,WeighRight,1288,4.8,,97.7,115.1,,,,63.0
83080L,ORG Dandelion Mocha 10 Oz Bag/Box of 24 - A,WeighRight,1276,,,99.3,,,116.9,,109.4
80080A,AMZN Org Mocha 11OZ Bag/Box of 24 - GA,WeighRight,1248,,,126.3,,,,86.0,108.7
40130L,Org Maca Chocolate 10 Ct Tea Bag Loose - G,Maisa 2+3,1240,,213.4,,198.6,,,,207.8
43340L,Org Dandelion Coconut 10 Ct Tea Bag Loose - A,Assembly,1234,,30.3,117.8,,,,29.7,47.7
10015,"ORG Schisandra, 1 lb Bag",WeighRight,1232,,180.0,,,,,,180.0
31014L,ORG Instant Miraculous Mushroom Matcha Latte 252g Bag,AMS,1229,78.8,,58.2,,,,,67.5
42011,ORG Pumpkin Spice 25CT Tea Bag - GA,Assembly,1224,,,,,42.8,35.7,,39.4
80063,ORG Hazelnut 11OZ Bag 3PK  - GA,WeighRight,1216,,114.4,78.2,154.2,,,,127.0
30009L,ORG Instant Vanilla Nut 100g Bag - G,AMS,1204,46.9,,,,76.6,,,55.0
10043,"ORG Star Anise, 6Oz Bag",WeighRight,1200,,93.4,,,,,,93.4
43321,Dandelion Red Chai 25 Count Tea Bag,Maisa 1,1200,66.5,,,,,,,66.5
45031,ORG Lion's Mane Rhodiola 25 Ct Tea Bag - G,Assembly,1200,111.5,6.7,55.7,201.0,,,,71.6
80089A,AMZN ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,WeighRight,1200,20.0,,,,,,,20.0
85030L,ORG Lion's Mane Rhodiola 10 Oz Bag/Box of 24 - G,WeighRight,1192,91.0,,,,,,,91.0
83310L,ORG Dandelion Mocha Mint 10 Oz Bag/Box of 24 - A,WeighRight,1175,183.2,,134.4,109.7,,,,132.5
80140L,ORG Original 10oz Bag/Box of 24 - G,WeighRight,1159,72.0,,,75.1,,,,73.9
80013,ORG Vanilla Nut 11oz Bag 3PK - GA,WeighRight,1152,122.1,,55.9,124.1,82.1,23.0,,84.4
30014L,Organic Instant Chicory 8 Oz Bag,AMS,1128,,,,45.2,,,52.5,48.3
42111,ORG French Vanilla 25CT Tea Bag - G,Assembly,1112,,115.2,,,,50.7,,74.4
50096,Top Six Packet Sampler pack,Assembly,1110,,,,85.3,,89.2,,86.5
