item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
80070A,AMZN Org Java 11OZ Bag/Box of 24 - GA,WeighRight,9618,81.9,,134.2,117.8,219.8,,134.7,89.0,203.0,,,125.8,,134.0,120.5,,,,,121.6
TB120,DO NOT MAKE ORG Maya Chai Tea Bag - G,Maisa 1,9305,,,,,99.1,,,,,,,,,,,,,,,99.1
10042,ORG Burdock 1 Lb Bag,WeighRight,9243,,,,,,,,180.1,83.6,,138.0,115.1,,289.8,38.7,131.1,223.9,,107.6,124.6
80110,ORG French Roast 11OZ Bag/6 Count Case - G,WeighRight,9237,105.9,,82.2,118.1,113.2,,92.0,103.8,130.7,123.4,116.5,113.9,78.4,109.3,31.1,176.3,83.3,109.3,,94.3
45030,ORG Lion's Mane Rhodiola 10 Ct Tea Bag/6 Count Case - G,Maisa 1,9230,102.7,102.8,,86.4,93.8,81.6,,,93.7,85.6,60.5,104.1,100.7,148.8,87.0,,73.4,,,93.4
TB202,ORG Caramel Nut Tea Bag - GA,Maisa 1,9069,,,,61.5,132.4,,,,,,,,,,,,,,,116.5
55050,Turkey Tail Astragalus 30g Trial Size Packet - G,WeighRight,9046,,,,118.3,,127.1,154.3,,103.4,,,176.0,163.8,,,139.2,,,,138.7
TB020,ORG Chocolate Mint Tea Bag - GA,Maisa 1,9011,,,,,,158.6,165.9,,,,,,,,0.1,,,,,57.7
TB208,ORG Irish Cream Tea Bag - G,Maisa 2+3,9000,,,,99.1,,,,,,,89.7,,,,,,,,,92.1
10006A,WWB AMZN Organic Lemon Balm (6 Oz) ,AMS,8806,,,,,,,,,,,,,56.3,63.7,,48.9,,43.8,34.6,51.8
85050L,ORG Turkey Tail Astragalus 10 Oz Bag/Box of 24 - G,WeighRight,8800,100.7,,,50.3,114.5,98.9,90.4,,141.5,,118.8,,4.8,,97.7,115.1,,,,79.4
