date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2025-01-20,2025-01,Maisa 2+3,,TB505,ORG Turkey Tail Astragalus Loose Tea Bag - G,Tea,inferred,,yes,2.0,18000,4.22,8.44,4265.4,71.09,2132.7,
2025-01-20,2025-01,WeighRight,,20061,ORG Hazelnut 300G Dual Language Bag - 6Ct Case - GA,Bag/Other,inferred,,yes,3.0,120,1.59,4.77,75.5,1.258,25.2,
2025-01-20,2025-01,WeighRight,,60060,ORG Hazelnut 5 Lb Bag - GA,Bag/Other,inferred,,yes,3.0,40,0.2,0.6,200.0,3.333,66.7,
2025-01-20,2025-01,WeighRight,,80066A,Hazelnut 500g APG Bag - GA,APG,inferred,,yes,3.0,300,1.28,3.84,234.4,3.906,78.1,
2025-01-20,2025-01,WeighRight,,83110A,AMZN ORG Dandelion Dark Roast 10 oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,1392,5.05,15.15,275.6,4.594,91.9,
2025-01-20,2025-01,WeighRight,,CleanGA,Clean + Gluten + Almond Tests,Bag/Other,inferred,,,3.0,0,0.47,1.41,,,,
2025-01-21,2025-01,Assembly,,42080,ORG Irish Cream 10ct/6pk Tea Bag - G,Tea,inferred,,yes,1.0,70,4.29,4.29,16.3,0.272,16.3,
2025-01-21,2025-01,Assembly,,TGB322,Dandelion Caramel Nut Tea Bag Goody Bag - A,Tea,inferred,,yes,1.0,250,0.38,0.38,657.9,10.965,657.9,
2025-01-21,2025-01,Assembly,,TGB502,Chaga Ashwaganda Tea Goody Bag,Bag/Other,inferred,,yes,1.0,250,1.54,1.54,162.3,2.706,162.3,
2025-01-21,2025-01,Assembly,,TGB601,ORG Dark Chocolate Tea Bag Goody Bag,Tea,inferred,,yes,1.0,250,0.45,0.45,555.6,9.259,555.6,
2025-01-21,2025-01,Maisa 1,,43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Tea,inferred,,yes,3.0,441,5.52,16.56,79.9,1.332,26.6,
