item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
TB040,ORG Blood Orange Tea Bag - GA,Maisa 2+3,1,1,2000,2000,0.3,0.8,21.11,1.4,0.8,170.4,,-0.6,-14.85,2469.14,1449.28,7407.41
82020A,AMZN Org Caramel Nut 11OZ Bag/Box of 24 - GA,Assembly,1,1,120,120,0.2,0.2,5.99,0.8,0.2,358.4,,-0.6,-15.49,521.74,145.56,521.74
83340A,AMZN Org Dandelion Coconut 10OZ Bag/Box of 24 - A,WeighRight,2,2,480,480,1.8,2.7,70.1,3.3,2.7,122.6,,-0.6,-15.83,178.44,145.56,274.29
74440,Blueberry Date Teechia 5 Lb Bag,WeighRight,1,1,80,80,1.1,2.1,55.25,2.7,2.1,129.6,,-0.6,-16.34,37.74,29.12,75.47
80123,DO NOT MAKE ORG Maya Chai 11OZ Bag 3PK - G,Assembly,1,1,96,96,1.4,1.4,35.18,2.0,1.4,146.5,,-0.6,-16.36,71.11,48.54,71.11
56030,Mango Lemon Balm 30g Trial Size Packet - G,WeighRight,1,1,302,302,0.5,1.4,37.53,2.1,1.4,144.1,,-0.6,-16.54,209.72,145.56,629.17
45050F,Turkey Tail Astragalus Dual Language 10 cnt TB - G,Maisa 2+3,5,5,838,838,9.9,33.9,883.17,34.5,33.9,101.9,,-0.6,-16.78,24.73,24.27,84.56
85053,DO NOT MAKE ORG Turkey Tail Astragalus 10OZ Bag 3PK - G,WeighRight,2,2,176,176,1.9,3.0,77.66,3.6,3.0,121.7,,-0.6,-16.82,59.06,48.54,94.62
50020,Chocolate Mint 30g Trial Size Packet - GA,WeighRight,1,1,1440,1440,3.1,9.2,240.79,9.9,9.2,107.1,,-0.7,-17.01,155.84,145.56,467.53
82040L,ORG Snickerdoodle 11OZ Bag/Box of 24 - GA,WeighRight,4,4,1503,1503,3.2,9.7,251.74,10.3,9.7,106.9,,-0.7,-17.35,155.59,145.56,466.77
45010L,ORG Reishi Eleuthero 10-Ct Tea Bag - G,Maisa 2+3,1,1,288,288,0.3,1.3,33.88,2.0,1.3,152.2,,-0.7,-17.68,221.54,145.56,1107.69
85060L,ORG Tremella Tulsi 10 Oz Bag/Box of 24,WeighRight,3,3,1349,1349,2.9,8.6,223.59,9.3,8.6,108.0,,-0.7,-17.92,157.23,145.56,471.68
86010,ORG Dark Chocolate 10 Oz Bag/6 Count Case,WeighRight,21,20,3065,2345,32.3,95.9,2499.41,96.6,95.9,100.8,,-0.7,-18.96,24.45,24.27,94.8
46011EU,Dark Chocolate 25Ct Tea Bag AMZN EU,Maisa 2+3,1,1,120,120,0.3,1.3,33.88,2.1,1.3,158.5,,-0.8,-19.82,92.31,58.24,461.54
80120L,DO NOT MAKE ORG Maya Chai 11oz Bag/Box of 24 - G,WeighRight,3,2,480,480,2.2,5.2,136.03,3.3,2.5,130.9,,-0.8,-20.26,190.48,145.56,219.18
TB070,ORG Java Tea Bag - GA,Maisa 1,1,1,3000,3000,0.4,1.3,33.62,2.1,1.3,160.5,,-0.8,-20.33,2325.58,1449.28,6976.74
85023,ORG Chaga Ashwagandha 10OZ Bag 3PK ,WeighRight,3,3,400,400,2.5,7.4,193.1,8.2,7.4,111.2,,-0.8,-21.63,53.98,48.54,161.94
62020,ORG Caramel Nut 5 Lb Bag - GA,WeighRight,3,3,70,70,0.5,1.6,40.65,2.4,1.6,154.1,,-0.8,-21.99,44.87,29.12,134.62
45030L,ORG Lion's Mane Rhodiola 10-Ct Tea Bag - G,Maisa 2+3,4,4,2490,2490,3.5,16.2,423.21,17.1,16.2,105.3,,-0.9,-22.58,153.33,145.56,719.65
TB202,ORG Caramel Nut Tea Bag - GA,Maisa 1,3,3,9069,9069,1.7,5.4,139.94,6.3,5.4,116.5,,-0.9,-23.13,1688.83,1449.28,5366.27
40010L,Org Vanilla Nut 10 Ct Tea Bag Loose - GA,Maisa 1,2,2,892,892,1.4,5.2,136.29,6.1,5.2,117.2,,-0.9,-23.4,170.55,145.56,615.17
82050L,ORG Gingerbread 11OZ Bag/Box of 24 - GA,WeighRight,1,1,736,736,1.4,4.1,107.89,5.1,4.1,122.1,,-0.9,-23.88,177.78,145.56,533.33
40060L,Org Hazelnut 10 Ct Tea Bag Loose - GA,Maisa 2+3,3,3,1544,1544,3.0,9.7,252.52,10.6,9.7,109.5,,-0.9,-23.9,159.34,145.56,514.67
46031A,AMZN ORG Mango Lemon Balm 25 Ct Tea Bag - X002LGV6MX - G,Maisa 1,1,1,120,120,0.4,1.1,28.93,2.1,1.1,185.6,,-1.0,-24.77,108.11,58.24,324.32
83220,ORG Dandelion Caramel Nut 10 Oz Bag/6 Count Case - A,WeighRight,7,7,416,416,7.6,16.2,421.13,17.1,16.2,106.1,,-1.0,-25.63,25.74,24.27,55.03
63310,ORG Dandelion Mocha Mint 5 Lb Bag - A,WeighRight,3,3,68,68,0.5,1.4,35.18,2.3,1.4,173.0,,-1.0,-25.67,50.37,29.12,151.11
43333,DO NOT MAKE ORG Dandelion Turmeric 25CT Tea Bag 3PK,Assembly,1,1,60,60,2.1,2.1,54.73,3.1,2.1,147.2,,-1.0,-25.82,28.57,19.41,28.57
40134,ORG Maca Chocolate 10CT Tea Bag 4PK - G,Assembly,1,1,160,160,3.4,3.4,88.6,4.4,3.4,129.3,,-1.0,-25.93,47.06,36.4,47.06
80133,ORG MACA Chocolate 11OZ Bag 3PK - G,WeighRight,5,5,720,720,8.7,13.8,359.63,14.8,13.8,107.5,,-1.0,-26.89,52.17,48.54,82.57
