date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2026-01-06,2026-01,Maisa 2+3,,TB322,ORG Dandelion Caramel Nut Tea Bag - A,Tea bag (intermediate),item-code,,yes,2.0,18000,5.3,10.6,3396.2,56.604,1698.1,
2026-01-06,2026-01,WeighRight,,20081,ORG Mocha 300G Dual Language Bag - 6Ct Case - GA,Bag/Other,inferred,,yes,3.0,12,1.233,3.7,9.7,0.162,3.2,
2026-01-06,2026-01,WeighRight,,80116A,French Roast 500g APG Bag - G,APG,inferred,,yes,3.0,96,0.333,1.0,288.0,4.8,96.0,
2026-01-06,2026-01,WeighRight,,help handpack instants,,Bag/Other,inferred,,,3.0,0,12.183,36.55,,,,
2026-01-07,2026-01,AMS,handpack,10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,,yes,2.0,288,3.9,7.8,73.8,1.231,36.9,
2026-01-07,2026-01,AMS,handpack,30009L,ORG Instant Vanilla Nut 100g Bag - G,Instant,governed,high,yes,3.0,746,5.767,17.3,129.4,2.156,43.1,
2026-01-07,2026-01,AMS,handpack,30010L,ORG Instant Hazelnut 100g Bag - G,Instant,governed,high,yes,2.0,739,4.283,8.567,172.5,2.875,86.3,
2026-01-07,2026-01,AMS,handpack,30011L,ORG Instant Mocha 100g Bag - G,Instant,inferred,,yes,3.0,740,4.2,12.6,176.2,2.937,58.7,
2026-01-07,2026-01,AMS,handpack,30013L,ORG Miraculous Mushrooms Cacao 135g Bag,Bag/Other,inferred,,yes,3.0,474,8.067,24.2,58.8,0.979,19.6,
2026-01-07,2026-01,AMS,handpack,31010L,ORG Instant Hazelnut Latte 224g Bag,Instant,governed,high,yes,3.0,168,0.717,2.15,234.4,3.907,78.1,
2026-01-07,2026-01,Maisa 1,,40111,ORG French Roast 25CT Tea Bag - G,Tea,governed,high,yes,3.0,984,8.617,25.85,114.2,1.903,38.1,
2026-01-07,2026-01,Maisa 1,,TB110,ORG French Roast Tea Bag Loose - G,Tea bag (intermediate),item-code,,yes,3.0,7000,3.333,10.0,2100.0,35.0,700.0,
2026-01-07,2026-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,5.0,2826,3.817,19.083,740.4,12.341,148.1,
2026-01-07,2026-01,Maisa 2+3,,43111,ORG Dandelion Dark Roast 25CT Tea Bag,Tea,governed,high,yes,5.0,1200,4.117,20.583,291.5,4.858,58.3,
2026-01-07,2026-01,Maisa 2+3,,43114,ORG Dandelion Dark Roast 10CT Tea Bag 4PK (with DCO/DMM Goody Bag),Tea,inferred,,yes,5.0,96,0.433,2.167,221.5,3.692,44.3,
2026-01-07,2026-01,Maisa 2+3,,NTB3110,Dandelion Dark Roast Tagless 6g Tea Bag,Tea bag (intermediate),item-code,,yes,2.0,16800,3.7,7.4,4540.5,75.676,2270.3,
2026-01-07,2026-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea bag (intermediate),item-code,,yes,2.0,14500,3.7,7.4,3918.9,65.315,1959.5,
